Your address (Street Address),Your address (Address Line 2),Your address (City),Your address (State / Province),Your address (ZIP / Postal Code),Your address (Country),Tour choice,Drink order,Phone,Hand bag,Pet,Complete Works of Shakespeare,Please answer: I believe that it is important to brush my teeth after every meal.,Total,Created By (User Id),Entry Id,Entry Date,Date Updated,Transaction Id,Payment Amount,Payment Date,Payment Status,Post Id,User Agent,Approval Status,Workflow Current Status Timestamp,Help Scout Conversation ID
,,,Florida,,United States,Dinosaur|10,Tea,Phone,Hand bag,Pet,,5. Strongly agree,10,,11874,21/2/2024 14:03,21/2/2024 3:03,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",3,,
,,,Alaska,,United States,Poetry|5,Coffee,,,Pet,,5. Strongly agree,5,,11868,18/2/2024 1:10,17/2/2024 14:10,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",3,,
,,,Arizona,,United States,Dinosaur|10,Tea,Phone,,,,1. Strongly disagree,10,,11854,29/1/2024 15:15,29/1/2024 4:15,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",3,,
,,,California,,United States,Dinosaur|10,Coffee,Phone,,,,1. Strongly disagree,10,,11845,15/1/2024 1:00,14/1/2024 14:00,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",3,,
,,,Arizona,,United States,Dinosaur|10,Coffee,Phone,,,,1. Strongly disagree,10,,11836,9/1/2024 0:20,8/1/2024 13:20,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",3,,
,,,Alabama,,United States,Poetry|5,Tea,,,,,1. Strongly disagree,5,,11805,26/11/2023 18:31,26/11/2023 7:31,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",3,,
,,,Connecticut,,United States,Leopard|20,Tea,Phone,Hand bag,,,2. Disagree,20,,11768,4/10/2023 23:33,4/10/2023 12:33,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.43",3,,
,,,Indiana,,United States,Dinosaur|10,Coffee,Phone,,,,1. Strongly disagree,10,,11736,20/9/2023 23:48,20/9/2023 13:48,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",3,,
,,,Alaska,,United States,Dinosaur|10,Tea,Phone,Hand bag,,,2. Disagree,10,,11622,12/8/2023 8:28,11/8/2023 22:28,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",3,,
,,,American Samoa,,United States,Dinosaur|10,Coffee,Phone,,,,2. Disagree,10,,11617,10/8/2023 6:14,9/8/2023 20:14,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",3,,
