ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
Agricultural Bank of China Limited (SEHK:1288),4149089,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,5.77,7.01,8.37,9.03,8.01,"1,632,635.94",9.69,11.74,10.39,10.45,10.16,9.69,30.74,32.17,30.21,30.52,31.90,3.38,3.43,1.48,3.47,2.84,(18.16),2.81,2.68,(4.63),2.70,2.68,(0.74),2.68,3.01,12.31,,,,5.77,1.48,,30.74,1.48
AIA Group Limited (SEHK:1299),4252473,SEHK,Financials; Insurance; Insurance; Life and Health Insurance; Health and Medical Insurance; Life Insurance,4.21,1.35,1.76,1.71,2.29,"515,092.98",8.72,12.70,9.71,12.00,6.34,8.72,91.42,36.44,30.39,70.18,63.14,62.95,81.80,29.94,84.70,95.00,12.16,98.55,78.60,(20.24),79.00,86.80,9.87,88.30,68.05,(22.93),,,,4.21,29.94,,91.42,29.94
AK Medical Holdings Limited (SEHK:1789),9338271,SEHK,Health Care; Health Care Equipment and Services; Health Care Equipment and Supplies; Health Care Equipment,0.40,0.56,0.61,0.26,0.96,"5,766.68",7.86,27.28,19.88,4.55,9.58,7.86,12.04,24.01,39.62,11.70,NA,4.22,8.78,108.06,9.20,13.46,46.30,12.86,6.60,(48.68),6.61,9.79,48.11,9.74,6.26,(35.73),,,,0.40,108.06,,12.04,108.06
Anhui Conch Cement Company Limited (SEHK:914),4982008,SEHK,"Materials; Materials; Construction Materials; Construction Materials; Concrete; Cement, Hydraulic; Clays; Clay Refractories",3.39,4.49,6.58,10.23,9.09,"120,505.00",5.46,26.55,23.41,18.96,8.32,5.46,27.93,31.00,35.36,83.78,85.05,36.80,56.80,54.35,60.95,48.55,(20.34),48.40,38.95,(19.52),39.45,27.30,(30.80),27.75,18.04,(34.99),,,,3.39,54.35,,27.93,54.35
Anhui Expressway Company Limited (SEHK:995),4995077,SEHK,Industrials; Transportation; Transportation Infrastructure; Highways and Railtracks,6.23,5.43,4.40,10.14,7.88,"23,284.14",12.15,9.56,6.89,12.83,11.11,12.15,47.14,54.66,34.32,79.78,69.02,4.65,4.61,(0.86),4.70,4.63,(1.49),4.77,6.30,32.08,6.29,6.29,0.00,6.44,7.70,19.57,,,,6.23,-0.86,,47.14,-0.86
ANTA Sports Products Limited (SEHK:2020),4914998,SEHK,"Consumer Discretionary; Consumer Durables and Apparel; Textiles, Apparel and Luxury Goods; Apparel, Accessories and Luxury Goods; Accessories; Apparel; Specialty Apparel; Athletic Uniforms",0.85,0.46,0.92,1.27,2.03,"229,867.40",24.03,29.93,23.76,28.59,23.73,24.03,26.50,27.20,31.23,40.66,39.29,36.35,69.75,91.88,70.10,122.90,75.32,127.00,116.90,(7.95),114.70,102.30,(10.81),104.20,75.75,(27.30),,,,0.85,91.88,,26.50,91.88
ASMPT Limited (SEHK:522),4338048,SEHK,"Information Technology; Semiconductors and Semiconductor Equipment; Semiconductors and Semiconductor Equipment; Semiconductor Materials and Equipment; Semiconductor Manufacturing Machinery; Back-End Equipment; Automatic Testing Equipment; Semiconductor Handling, Assembly and Packaging Equipment",2.50,1.37,3.92,7.01,3.37,"41,491.99",4.49,5.86,5.13,22.20,16.75,4.49,177.31,35.30,42.78,61.43,144.74,75.35,108.10,43.46,113.70,102.30,(10.03),97.95,84.25,(13.99),84.85,55.65,(34.41),55.75,74.50,33.63,,,,2.50,43.46,,177.31,43.46
AviChina Industry & Technology Company Limited (SEHK:2357),4987076,SEHK,"Industrials; Capital Goods; Aerospace and Defense; Aerospace and Defense; Aerospace and Defense Maintenance and Services; Aircraft Systems, Components and Equipment; Fluid Power Aircraft Subassemblies; Defense Electronics; Command, Control and Communication Equipment; Military Aircraft; Passenger and Cargo Aircraft and Airplanes; Passenger Helicopters",0.85,0.61,1.12,2.68,2.69,"24,157.75",9.15,7.36,8.83,9.58,8.84,9.15,13.91,41.49,70.19,78.24,NA,4.74,3.51,(25.95),3.56,5.41,51.97,6.70,5.39,(19.55),5.53,3.51,(36.53),3.63,3.35,(7.71),,,,0.85,-25.95,,13.91,-25.95
BAIC Motor Corporation Limited (SEHK:1958),4913722,SEHK,Consumer Discretionary; Automobiles and Components; Automobiles; Automobile Manufacturers; Light Truck and Sport Utility Vehicles (SUVs); Passenger Motor Vehicles,4.88,6.48,2.89,9.06,8.16,"17,393.28",17.21,21.41,17.75,20.41,21.24,17.21,32.72,72.68,19.52,30.56,NA,4.08,4.42,8.33,4.43,2.87,(35.21),2.93,3.35,14.33,3.35,2.07,(38.21),2.13,2.28,7.04,,,,4.88,8.33,,32.72,8.33
Bank of China Limited (SEHK:3988),4055265,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,6.33,7.90,8.46,9.12,8.45,"1,329,118.37",9.26,10.91,9.91,10.07,9.64,9.26,31.24,32.70,30.09,30.46,32.13,3.32,3.33,0.30,3.37,2.65,(21.36),2.61,2.81,7.66,2.83,2.84,0.35,2.86,2.98,4.20,,,,6.33,0.30,,31.24,0.30
